-6.855914,-6.857805,-6.843697,-6.866716
-6.718396,-6.701296,-6.731660,-6.699073
-6.497481,-6.488139,-6.512025,-6.488478
-6.235135,-6.208213,-6.215572,-6.315061
-5.896144,-5.897269,-5.906465,-5.890540
-5.557263,-5.543278,-5.580111,-5.588419
-5.183600,-5.155508,-5.184212,-5.236682
-4.765424,-4.734830,-4.738053,-4.785757
-4.246453,-4.252163,-4.307493,-4.342254
-3.743820,-3.728357,-3.756343,-3.846757
-3.230489,-3.190169,-3.220795,-3.242496
-2.668262,-2.673867,-2.626958,-2.732501
-6.992981,-7.000457,-6.997081,-6.995976
-6.813129,-6.808394,-6.838582,-6.847346
-6.546113,-6.548996,-6.562657,-6.584976
-6.280354,-6.252258,-6.252728,-6.260660
-5.899040,-5.903880,-5.904925,-5.962458
-5.521718,-5.520843,-5.523764,-5.572677
-5.134447,-5.086412,-5.087191,-5.146874
-4.638907,-4.598666,-4.596561,-4.657411
-4.052294,-4.038189,-4.042479,-4.260368
-3.449427,-3.412465,-3.411256,-3.519878
-2.862618,-2.701071,-2.701337,-2.845901
-2.032298,-1.969050,-1.899929,-2.074912
-7.211684,-7.175705,-7.323548,-7.355743
-7.000895,-6.861894,-95.499350,-7.345409
-6.662453,-6.513216,-76.085206,-6.710192
-6.404756,-6.125795,-94.503440,-6.517451
-5.904795,-5.695328,-95.675132,-6.338580
-5.570314,-5.217031,-72.208981,-5.805347
-5.105204,-4.685590,-78.776307,-5.367737
-4.713146,-4.095100,-98.828802,-4.627142
-4.053667,-3.439000,-93.245404,-4.494022
-3.669725,-2.710000,-90.315781,-3.766903
-2.886759,-1.900000,-91.891207,-2.987775
-2.351974,-1.682510,-1.000000,-2.176013
-7.458134,-101.054164,-7.576789,-7.648577
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
